spoiler_type,predicted_label,true_label,post_length,spoiler_length
multi,passage,multi,12,18
multi,passage,multi,9,9
multi,phrase,multi,8,5
phrase,passage,phrase,3,3
passage,phrase,passage,13,11
phrase,passage,phrase,7,3
multi,passage,multi,13,48
multi,passage,multi,15,4
multi,passage,multi,12,10
multi,passage,multi,6,106
multi,phrase,multi,8,7
multi,passage,multi,11,145
multi,passage,multi,12,13
phrase,passage,phrase,9,3
multi,passage,multi,9,7
multi,phrase,multi,19,3
multi,passage,multi,16,5
phrase,passage,phrase,18,5
multi,passage,multi,10,27
passage,phrase,passage,11,8
passage,multi,passage,8,30
multi,passage,multi,8,15
multi,phrase,multi,11,3
multi,passage,multi,11,27
multi,passage,multi,8,25
multi,phrase,multi,16,5
multi,passage,multi,8,31
passage,phrase,passage,12,6
multi,passage,multi,16,20
passage,phrase,passage,15,14
phrase,passage,phrase,6,4
multi,passage,multi,10,35
passage,multi,passage,14,26
multi,passage,multi,12,11
passage,phrase,passage,11,13
multi,passage,multi,11,10
multi,passage,multi,8,16
phrase,passage,phrase,9,3
multi,passage,multi,4,12
multi,passage,multi,15,19
passage,phrase,passage,10,7
passage,phrase,passage,14,17
passage,multi,passage,15,18
passage,phrase,passage,14,7
multi,phrase,multi,10,5
multi,phrase,multi,15,6
phrase,passage,phrase,3,3
phrase,passage,phrase,13,5
multi,passage,multi,7,23
multi,passage,multi,13,30
multi,phrase,multi,10,5
passage,phrase,passage,10,11
multi,passage,multi,13,46
multi,passage,multi,11,46
passage,phrase,passage,13,8
multi,passage,multi,10,19
multi,passage,multi,7,7
multi,passage,multi,18,12
multi,passage,multi,20,74
multi,passage,multi,11,8
phrase,passage,phrase,16,5
passage,phrase,passage,14,18
multi,phrase,multi,10,10
phrase,passage,phrase,18,2
passage,phrase,passage,9,9
phrase,passage,phrase,14,5
multi,phrase,multi,12,5
phrase,passage,phrase,8,2
multi,passage,multi,7,9
multi,phrase,multi,10,3
passage,multi,passage,3,24
multi,passage,multi,8,33
multi,phrase,multi,15,20
phrase,passage,phrase,8,5
passage,multi,passage,17,9
passage,multi,passage,7,14
multi,passage,multi,12,38
multi,passage,multi,12,84
multi,passage,multi,13,18
multi,passage,multi,9,36
phrase,passage,phrase,13,4
multi,passage,multi,15,8
multi,passage,multi,9,40
phrase,passage,phrase,7,5
phrase,passage,phrase,10,5
passage,multi,passage,19,15
multi,passage,multi,10,98
multi,passage,multi,11,63
multi,phrase,multi,10,4
passage,phrase,passage,13,6
multi,passage,multi,16,39
passage,phrase,passage,13,6
multi,passage,multi,8,57
phrase,passage,phrase,5,4
passage,phrase,passage,10,8
multi,passage,multi,14,32
phrase,passage,phrase,13,5
phrase,passage,phrase,12,4
multi,passage,multi,14,27
passage,phrase,passage,14,8
multi,passage,multi,7,11
multi,passage,multi,16,177
multi,passage,multi,13,96
phrase,passage,phrase,8,5
multi,phrase,multi,6,5
phrase,passage,phrase,10,1
passage,phrase,passage,12,6
multi,passage,multi,7,7
multi,passage,multi,13,5
passage,multi,passage,10,25
passage,phrase,passage,9,8
multi,passage,multi,8,20
phrase,passage,phrase,13,5
phrase,passage,phrase,10,3
passage,phrase,passage,9,9
multi,passage,multi,11,47
